lambda,k,recall@k,ndcg@k,exposure_male,exposure_female,exposure_mixed,disparity_male,disparity_female,disparity_mixed
0.0,10,0.07473385110816443,0.06835538114227775,0.7781907627514784,0.10073505274256817,0.12107418450595349,0.009029117492998565,-0.3659283461518114,0.16726610329284966
0.1,10,0.07476163414788155,0.06828989023514687,0.7823236879445484,0.09926152256005513,0.11841478949539641,0.014766178193614615,-0.3797723710659254,0.13493068285750304
0.2,10,0.07486013765233315,0.06803981192299578,0.7863436555742971,0.09794828661471067,0.1157080578109923,0.020211143115376654,-0.3919509005462936,0.10079813716881685
0.3,10,0.07480709730378228,0.06774072785068182,0.7894467437439509,0.09701953406343852,0.11353372219261067,0.024002314490246066,-0.39993244617604473,0.07366773409697647
0.4,10,0.07474395403169792,0.06745272318035223,0.7917526240963126,0.09672706373453523,0.11152031216915212,0.026381697111209135,-0.4003755151433426,0.05039363937314948
0.5,10,0.07454694702279473,0.06719640114028572,0.7926847054891296,0.0972729068230504,0.11004238768782,0.02626108328180733,-0.3918432160658166,0.03227226813558974
0.6,10,0.07420344762265581,0.06684418601735397,0.7920072521899988,0.09903963702236859,0.10895311078763262,0.023215943304344525,-0.36989325413502244,0.016700129972635567
0.7,10,0.07366041548273032,0.06641081616794894,0.7913961876933762,0.10042577952691858,0.10817803277970524,0.01862038519546507,-0.33639262644468987,0.004398659893461888
0.8,10,0.07255667108669572,0.0656670917217076,0.7944118846565678,0.09953708593238432,0.10605102941104787,0.01603115557105499,-0.3030743597434052,-0.02868626566598905
0.9,10,0.0707937109301004,0.06455627721677366,0.8004665912056198,0.09629232803089871,0.10324108076348146,0.013377548633432958,-0.2751552289781902,-0.07291186633389643
1.0,10,0.025477047420597337,0.019705244950947002,0.8090224524777961,0.09461443815059303,0.09636310937161087,0.007092535551312212,-0.2539349495090359,-0.18445869127382972
