lambda,k,recall@k,ndcg@k,exposure_male,exposure_female,exposure_mixed,disparity_male,disparity_female,disparity_mixed
0.0,10,0.0746883879522637,0.06836045132435735,0.7770123113221815,0.10136725248797604,0.1216204361898424,0.007005144553753462,-0.36618216980221446,0.1703172452193477
0.1,10,0.07473385110816443,0.06834866664141687,0.7733338771761266,0.10468218431436531,0.12198393850950819,0.0032102056215341282,-0.3209374446371843,0.1873422752111949
0.2,10,0.07471111953021406,0.06806083958539513,0.7680518194470861,0.10948684738864888,0.122461333164265,-0.0026019094088763494,-0.2544869808000601,0.21372883779303814
0.3,10,0.0746959651449138,0.06774620901279986,0.759652570848919,0.11753810761608897,0.12280932153499198,-0.012723689432486569,-0.14125328175499877,0.24328615220712868
0.4,10,0.07428932247269054,0.06711828778375445,0.7453822284822967,0.13146408584841576,0.12315368566928753,-0.03027519691681555,0.06377691960467179,0.27955952004969437
0.5,10,0.07365536402096358,0.06620149033306787,0.7225767466559241,0.15416014331535788,0.12326311002871801,-0.05879274258981029,0.43342732984183463,0.3239569551906931
0.6,10,0.07255414535581235,0.06474478354387085,0.6941879455767868,0.18268375016784758,0.12312830425536565,-0.09339124775916248,0.9471414103780879,0.37745398646345774
0.7,10,0.07080128812275052,0.0628088790473058,0.6697448198850242,0.20753877331568715,0.12271640679928864,-0.12281441423824273,1.403161138113045,0.41547411886543
0.8,10,0.06752541516701395,0.06065013910477117,0.6615404816093966,0.21939010997755884,0.11906940841304452,-0.1324602160891076,1.809750260154699,0.26717165372749857
0.9,10,0.05791753488665782,0.055271480155392044,0.713926018554506,0.23838315561789208,0.04769082582760194,-0.09124073554017861,2.6481004256416028,-0.694881261429494
1.0,10,0.025424007072046475,0.01939656428320069,0.6749317859568434,0.2778327197048228,0.04723549433833371,-0.10604130011990429,2.664891808460406,-0.508113085015341
